Year,SSP,Process,mean_TgCH4_yr,ymin_TgCH4_yr,ymax_TgCH4_yr
2034,SSP1-2.6,Combustion,0.00376101543654319,0.00217975781076424,0.00534227306232214
2035,SSP1-2.6,Combustion,0.00380184103362673,0.0022009433436399,0.00540273872361356
2036,SSP1-2.6,Combustion,0.00384299719455886,0.00222223371957125,0.00546376066954647
2037,SSP1-2.6,Combustion,0.003868609286598,0.00223249635707237,0.0055047222161236295
2038,SSP1-2.6,Combustion,0.00389031088596684,0.0022404330541297,0.00554018871780398
2039,SSP1-2.6,Combustion,0.00389831172535429,0.00223903415617693,0.00555758929453165
2040,SSP1-2.6,Combustion,0.00389682717174545,0.00223157000660247,0.0055620843368884305
2041,SSP1-2.6,Combustion,0.00388795175012482,0.00221973741935373,0.00555616608089591
2042,SSP1-2.6,Combustion,0.00387962870002076,0.0022090546068851,0.00555020279315642
2043,SSP1-2.6,Combustion,0.00387501323335173,0.00220143533126869,0.00554859113543477
2044,SSP1-2.6,Combustion,0.00387689235157667,0.0021985859313804097,0.00555519877177293
2045,SSP1-2.6,Combustion,0.00389330399093359,0.00220595793715158,0.0055806500447156
2046,SSP1-2.6,Combustion,0.0039148431643143,0.0022164384094119404,0.00561324791921666
2047,SSP1-2.6,Combustion,0.00394081264508692,0.0022296429884832397,0.005651982301690599
2048,SSP1-2.6,Combustion,0.00395915796640264,0.0022370758987348797,0.0056812400340704
2049,SSP1-2.6,Combustion,0.00396045669532309,0.00223249104665538,0.0056884223439908
2050,SSP1-2.6,Combustion,0.00394441019574639,0.0022161964481011605,0.00567262394339162
2051,SSP1-2.6,Combustion,0.00392363086534905,0.00219756073626615,0.0056497009944319505
2052,SSP1-2.6,Combustion,0.00390002072472008,0.00217764765542571,0.00562239379401445
2053,SSP1-2.6,Combustion,0.0038760129315409,0.0021580016431926898,0.00559402421988911
2054,SSP1-2.6,Combustion,0.00385831370456717,0.0021432426800670904,0.00557338472906725
2055,SSP1-2.6,Combustion,0.0038517767463044,0.00213649707399466,0.005567056418614141
2056,SSP1-2.6,Combustion,0.00385522997631032,0.0021365497536724497,0.00557391019894819
2057,SSP1-2.6,Combustion,0.00385470492802038,0.0021332495794094105,0.00557616027663135
2058,SSP1-2.6,Combustion,0.00385271885017591,0.0021288307239950097,0.00557660697635681
2059,SSP1-2.6,Combustion,0.00384900569116345,0.0021231993302279796,0.00557481205209892
2060,SSP1-2.6,Combustion,0.00383315558796552,0.00210894670453213,0.00555736447139891
2061,SSP1-2.6,Combustion,0.00380903665099224,0.0020892601132827303,0.00552881318870175
2062,SSP1-2.6,Combustion,0.0037805312772092,0.00206699689679941,0.00549406565761899
2063,SSP1-2.6,Combustion,0.00375306662063478,0.00204597755116116,0.0054601556901084
2064,SSP1-2.6,Combustion,0.00372765506352851,0.00202669735936379,0.0054286127676932295
2065,SSP1-2.6,Combustion,0.00370727929802396,0.00201116187473418,0.00540339672131374
2066,SSP1-2.6,Combustion,0.00369986169424576,0.0020048964490750297,0.00539482693941649
2067,SSP1-2.6,Combustion,0.00370015071293511,0.0020036837830079398,0.00539661764286228
2068,SSP1-2.6,Combustion,0.003700827627549,0.00200222554030837,0.00539942971478963
2069,SSP1-2.6,Combustion,0.00369270766379988,0.00199414871723532,0.00539126661036444
2070,SSP1-2.6,Combustion,0.00367346260625068,0.00197823346247429,0.00536869175002707
2071,SSP1-2.6,Combustion,0.00364324855248239,0.00195487649466819,0.00533162061029659
2072,SSP1-2.6,Combustion,0.00361034499575971,0.00193023836571117,0.0052904516258082505
2073,SSP1-2.6,Combustion,0.00357668182029509,0.00190551407418883,0.00524784956640135
2074,SSP1-2.6,Combustion,0.00354053911145027,0.0018792933375154101,0.00520178488538513
2075,SSP1-2.6,Combustion,0.00350522252736202,0.0018539716348469802,0.00515647341987706
2076,SSP1-2.6,Combustion,0.00347030980965291,0.0018291038705614297,0.00511151574874439
2077,SSP1-2.6,Combustion,0.00344040876625859,0.0018080019901555897,0.00507281554236159
2078,SSP1-2.6,Combustion,0.00341892149843951,0.00179293883385375,0.00504490416302527
2079,SSP1-2.6,Combustion,0.00340374524809757,0.00178213285953248,0.0050253576366626595
2080,SSP1-2.6,Combustion,0.00339019070998605,0.0017721008321360699,0.00500828058783603
2081,SSP1-2.6,Combustion,0.0033722346839185,0.0017586545915640299,0.00498581477627297
2082,SSP1-2.6,Combustion,0.00335016822212411,0.0017422999706582102,0.00495803647359001
2083,SSP1-2.6,Combustion,0.00331932988765106,0.00171975109984365,0.00491890867545847
2084,SSP1-2.6,Combustion,0.00328545787580728,0.0016954550667700498,0.00487546068484451
2085,SSP1-2.6,Combustion,0.00324341441701008,0.00166554626417976,0.0048212825698404
2086,SSP1-2.6,Combustion,0.00319955529855244,0.0016348622278630099,0.00476424836924187
2087,SSP1-2.6,Combustion,0.00315906440781003,0.00160705761847464,0.0047110711971454205
2088,SSP1-2.6,Combustion,0.0031220445800782,0.0015819330639992599,0.00466215609615714
2089,SSP1-2.6,Combustion,0.00309392741783632,0.0015633560376167501,0.00462449879805589
2090,SSP1-2.6,Combustion,0.00307736401858722,0.0015529764538779898,0.00460175158329645
2091,SSP1-2.6,Combustion,0.00306630319150901,0.0015461104509276098,0.0045864959320904095
2092,SSP1-2.6,Combustion,0.00306166546419721,0.0015435243494899302,0.00457980657890449
2093,SSP1-2.6,Combustion,0.00304534532463721,0.00153186334248004,0.0045588273067943795
2094,SSP1-2.6,Combustion,0.0030158267335381,0.0015107031406550002,0.0045209503264212
2095,SSP1-2.6,Combustion,0.00297940216729461,0.00148507053418241,0.00447373380040681
2096,SSP1-2.6,Combustion,0.002936841683374,0.00145550715476193,0.00441817621198607
2097,SSP1-2.6,Combustion,0.0028959764715697,0.0014277978604275402,0.00436415508271186
2098,SSP1-2.6,Combustion,0.00285659018459158,0.0014014677460875,0.00431171262309566
2099,SSP1-2.6,Combustion,0.00282529571389769,0.0013812971994159298,0.00426929422837945
2100,SSP1-2.6,Combustion,0.0028052635492481,0.0013692915054433798,0.00424123559305282
2014,SSP1-2.6,Postfire,0.00320627667307075,0.00167932410234038,0.00473322924380112
2015,SSP1-2.6,Postfire,0.00331548777288012,0.00169894297919807,0.00493203256656217
2016,SSP1-2.6,Postfire,0.00339473722738231,0.0017422701948947201,0.0050472042598699
2017,SSP1-2.6,Postfire,0.00347255139306236,0.0017886694779601499,0.0051564333081645704
2018,SSP1-2.6,Postfire,0.00355251376626901,0.0018357394349831598,0.00526928809755486
2019,SSP1-2.6,Postfire,0.0036349067434898,0.0018835351108102498,0.00538627837616935
2020,SSP1-2.6,Postfire,0.00371988342879259,0.0019321937986090402,0.00550757305897614
2021,SSP1-2.6,Postfire,0.00380835448891273,0.0019814322178174602,0.005635276760008
2022,SSP1-2.6,Postfire,0.00390083698542646,0.00203135383431105,0.0057703201365418705
2023,SSP1-2.6,Postfire,0.0039965429018519,0.00208272488466732,0.0059103609190364805
2024,SSP1-2.6,Postfire,0.0040943268588241,0.00213619967821266,0.00605245403943554
2025,SSP1-2.6,Postfire,0.00419273388081408,0.00219232606386385,0.006193141697764311
2026,SSP1-2.6,Postfire,0.00429100059658971,0.0022509951145216695,0.00633100607865775
2027,SSP1-2.6,Postfire,0.00438909374001476,0.0023117037282560397,0.00646648375177348
2028,SSP1-2.6,Postfire,0.00448767105246085,0.00237369439335977,0.0066016477115619305
2029,SSP1-2.6,Postfire,0.00458681563378592,0.00243675686102796,0.00673687440654388
2030,SSP1-2.6,Postfire,0.00468664161775207,0.00250066879646498,0.00687261443903916
2031,SSP1-2.6,Postfire,0.00478713022777352,0.00256525928008558,0.00700900117546146
2032,SSP1-2.6,Postfire,0.00488858568947864,0.00263024775632465,0.00714692362263263
2033,SSP1-2.6,Postfire,0.00499202905437562,0.00269518595477202,0.00728887215397922
2034,SSP1-2.6,Postfire,0.00509853524304864,0.0027598330662930996,0.00743723741980418
2035,SSP1-2.6,Postfire,0.00520682951674305,0.0028252457963541897,0.00758841323713191
2036,SSP1-2.6,Postfire,0.00531647174941706,0.00289162416422019,0.00774131933461393
2037,SSP1-2.6,Postfire,0.00542609045821589,0.0029596143112262403,0.00789256660520554
2038,SSP1-2.6,Postfire,0.00553560729770547,0.00302885566517073,0.00804235893024021
2039,SSP1-2.6,Postfire,0.00564435867805292,0.00309941552260042,0.00818930183350542
2040,SSP1-2.6,Postfire,0.00575185851738749,0.00317110241397078,0.0083326146208042
2041,SSP1-2.6,Postfire,0.005858191332087,0.0032434792434869997,0.008472903420687
2042,SSP1-2.6,Postfire,0.00596405751140452,0.0033158944229585304,0.00861222059985051
2043,SSP1-2.6,Postfire,0.0060702118425598,0.0033879207279408304,0.00875250295717877
2044,SSP1-2.6,Postfire,0.00617727123790186,0.0034593692283967402,0.00889517324740698
2045,SSP1-2.6,Postfire,0.0062865013744993,0.00352988180710027,0.00904312094189833
2046,SSP1-2.6,Postfire,0.00639780094677656,0.0035999561997604804,0.00919564569379264
2047,SSP1-2.6,Postfire,0.00651086765197767,0.0036700148536388797,0.00935172045031646
2048,SSP1-2.6,Postfire,0.006624464744531,0.0037408005698643804,0.00950812891919762
2049,SSP1-2.6,Postfire,0.00673666427622188,0.00381302600456562,0.009660302547878141
2050,SSP1-2.6,Postfire,0.00684631679940714,0.00388669011974941,0.00980594347906487
2051,SSP1-2.6,Postfire,0.00695418464231726,0.0039608345637718095,0.00994753472086271
2052,SSP1-2.6,Postfire,0.00706092793630801,0.00403485698012019,0.01008699889249583
2053,SSP1-2.6,Postfire,0.00716685961738384,0.004108467705076859,0.01022525152969082
2054,SSP1-2.6,Postfire,0.00727286768602857,0.00418124942151311,0.010364485950544029
2055,SSP1-2.6,Postfire,0.00738008502002215,0.00425289547391074,0.01050727456613356
2056,SSP1-2.6,Postfire,0.00748902920925207,0.00432353773777683,0.01065452068072731
2057,SSP1-2.6,Postfire,0.00759841817259555,0.00439405463396059,0.01080278171123051
2058,SSP1-2.6,Postfire,0.00770771965661645,0.004464673577037229,0.01095076573619567
2059,SSP1-2.6,Postfire,0.00781692961767163,0.004535359208874539,0.01109850002646872
2060,SSP1-2.6,Postfire,0.00792475279988465,0.0046065540223780895,0.01124295157739121
2061,SSP1-2.6,Postfire,0.00803068936367929,0.0046781175159828605,0.011383261211375721
2062,SSP1-2.6,Postfire,0.00813506643366479,0.0047496127452874995,0.01152052012204208
2063,SSP1-2.6,Postfire,0.00823857371043599,0.00482058590858527,0.01165656151228671
2064,SSP1-2.6,Postfire,0.00834165120868566,0.004890848369652059,0.01179245404771926
2065,SSP1-2.6,Postfire,0.00844479661168927,0.00496027451895641,0.01192931870442213
2066,SSP1-2.6,Postfire,0.0085493001466963,0.00502856195587534,0.01207003833751726
2067,SSP1-2.6,Postfire,0.00865539809535747,0.005095989599023101,0.01221480659169184
2068,SSP1-2.6,Postfire,0.00876226200920434,0.00516313586559396,0.01236138815281472
2069,SSP1-2.6,Postfire,0.0088684181852732,0.00523059441305191,0.012506241957494491
2070,SSP1-2.6,Postfire,0.00897279357196003,0.00529853509988471,0.012647052044035349
2071,SSP1-2.6,Postfire,0.00907483873049916,0.005366811421585009,0.01278286603941331
